,ms.value,dt_conf.value,dt_s.value,country.value,dtnorm.value,dtnorm_label.value,loc_wkt.value,oms.value
72,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
73,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
74,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
75,https://minmod.isi.edu/resource/site__mesaba-babbit__mudd-and-jowitt-2022-nickel__mayhew-et-al-2009-teck-2010,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.9 47.63),https://minmod.isi.edu/resource/mrds10038935
85,https://minmod.isi.edu/resource/site__stillwater-east-boulder__mudd-and-jowitt-2022-nickel__resv-resc-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-109.9 45.39),
86,https://minmod.isi.edu/resource/site__stillwater-east-boulder__mudd-and-jowitt-2022-nickel__resv-resc-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-109.9 45.39),
87,https://minmod.isi.edu/resource/site__stillwater-east-boulder__mudd-and-jowitt-2022-nickel__resv-resc-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-109.9 45.39),
88,https://minmod.isi.edu/resource/site__birch-lake__mudd-and-jowitt-2022-nickel__ar-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.75),
89,https://minmod.isi.edu/resource/site__birch-lake__mudd-and-jowitt-2022-nickel__ar-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.75),
90,https://minmod.isi.edu/resource/site__spruce-road__mudd-and-jowitt-2022-nickel__ar-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.7 47.83),
